average_per_epoch,step
248.28844175137394,1563
221.6745548065244,3126
206.55523652353122,4689
193.73229536274954,6252
183.1523417779748,7815
174.18067235086335,9378
165.91771910332443,10941
158.15971202691702,12504
151.08812859572436,14067
144.58064476984552,15630
