loss,step
260.86859130859375,100
256.612548828125,200
254.2248992919922,300
242.25149536132812,400
244.48634338378906,500
232.17996215820312,600
249.8158721923828,700
256.1739196777344,800
258.94403076171875,900
245.40237426757812,1000
246.4017333984375,1100
237.4525146484375,1200
241.8163604736328,1300
236.6574249267578,1400
238.8683319091797,1500
224.70748901367188,1600
224.68397521972656,1700
222.18922424316406,1800
217.99620056152344,1900
221.5582275390625,2000
222.51966857910156,2100
218.6593475341797,2200
211.69680786132812,2300
239.51380920410156,2400
233.17398071289062,2500
213.94757080078125,2600
224.36135864257812,2700
228.3634796142578,2800
223.49169921875,2900
223.81422424316406,3000
215.87440490722656,3100
210.58868408203125,3200
205.74813842773438,3300
204.00682067871094,3400
201.76376342773438,3500
208.6643829345703,3600
196.57247924804688,3700
195.30015563964844,3800
210.42178344726562,3900
217.78424072265625,4000
205.8041534423828,4100
208.3235321044922,4200
207.4599151611328,4300
204.77699279785156,4400
200.3022003173828,4500
205.91329956054688,4600
197.21636962890625,4700
201.2161407470703,4800
195.9956817626953,4900
178.178466796875,5000
198.82366943359375,5100
176.55294799804688,5200
189.87762451171875,5300
184.286865234375,5400
206.16099548339844,5500
197.4119110107422,5600
193.3566436767578,5700
202.9825439453125,5800
194.91761779785156,5900
200.57066345214844,6000
199.52847290039062,6100
204.7771759033203,6200
191.4119415283203,6300
188.92178344726562,6400
179.7014923095703,6500
190.42921447753906,6600
172.8792724609375,6700
166.2949981689453,6800
187.13601684570312,6900
182.2823486328125,7000
195.54217529296875,7100
193.31076049804688,7200
183.66481018066406,7300
202.48948669433594,7400
187.09681701660156,7500
194.71566772460938,7600
200.10470581054688,7700
175.55487060546875,7800
173.2464599609375,7900
197.1451416015625,8000
154.05409240722656,8100
169.08712768554688,8200
171.16221618652344,8300
157.28187561035156,8400
178.40626525878906,8500
184.40090942382812,8600
170.2067413330078,8700
174.2934112548828,8800
176.4540252685547,8900
181.67254638671875,9000
158.70742797851562,9100
160.6526641845703,9200
183.51458740234375,9300
166.34925842285156,9400
177.3988037109375,9500
160.7733612060547,9600
163.77108764648438,9700
159.56704711914062,9800
153.07598876953125,9900
155.0009307861328,10000
162.29148864746094,10100
164.59083557128906,10200
152.41244506835938,10300
170.73806762695312,10400
178.89830017089844,10500
167.1720428466797,10600
147.8814697265625,10700
161.18955993652344,10800
176.19332885742188,10900
169.95594787597656,11000
161.16001892089844,11100
141.2513427734375,11200
164.0998992919922,11300
141.02944946289062,11400
151.04129028320312,11500
143.4127655029297,11600
167.02354431152344,11700
165.59799194335938,11800
165.09469604492188,11900
134.28025817871094,12000
166.84530639648438,12100
173.30844116210938,12200
141.00692749023438,12300
153.9482421875,12400
184.74586486816406,12500
136.93417358398438,12600
143.29376220703125,12700
140.28802490234375,12800
157.84605407714844,12900
143.7869415283203,13000
143.00424194335938,13100
155.3990020751953,13200
159.33111572265625,13300
169.4769287109375,13400
157.33807373046875,13500
150.05157470703125,13600
162.9280548095703,13700
125.60172271728516,13800
156.90582275390625,13900
156.84500122070312,14000
129.59805297851562,14100
138.45791625976562,14200
148.42543029785156,14300
146.1103057861328,14400
118.85879516601562,14500
126.07077026367188,14600
135.4966583251953,14700
128.0216064453125,14800
152.01710510253906,14900
122.17786407470703,15000
155.08798217773438,15100
157.48081970214844,15200
131.51231384277344,15300
148.4912872314453,15400
115.43557739257812,15500
147.79727172851562,15600
